TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ09,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,123722.24999999999,14740.46,0,59678.04,21811.65,21908.52,0,0,5583.58,0,0,0,0,0,0,5377.207508532423,486.92901023890784,0.0,4890.278498293515,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ10,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,112354.03,14740.46,0,59678.04,10589.05,22655.8,0,0,4690.68,0,0,0,0,0,0,5375.086689419794,486.92901023890784,0.0,4888.157679180887,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ11,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,131282.33,14740.46,0,59678.04,18843.19,31555.98,0,0,6464.66,0,0,0,0,0,0,5431.171672354948,486.92901023890784,0.0,4944.242662116041,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ12,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,110799.43999999999,14740.46,0,59678.04,18997.5,13957.95,0,0,3425.49,0,0,0,0,0,0,5432.137201365187,486.92901023890784,0.0,4945.20819112628,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ13,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,152057.71000000002,14740.46,0,59678.04,27912.85,40045.72,0,0,9680.64,0,0,0,0,0,0,5402.303754266211,486.92901023890784,0.0,4915.374744027304,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ14,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,132428.18,14740.46,0,59678.04,28107.28,23383.55,0,0,6518.85,0,0,0,0,0,0,5392.2563139931735,486.92901023890784,0.0,4905.327303754266,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ15,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,165257.11,14740.46,0,59678.04,7530.26,70210.02,0,0,13098.33,0,0,0,0,0,0,5303.288737201365,486.92901023890784,0.0,4816.359726962457,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ16,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,122331.69999999998,14740.46,0,59678.04,34560.66,8699.42,0,0,4653.12,0,0,0,0,0,0,5523.936518771331,486.92901023890784,0.0,5037.007508532423,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ01,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,76138.76,14740.46,0,59678.04,0.0,1204.99,0,0,515.27,0,0,0,0,0,0,6393.874061433447,486.92901023890784,785.0825938566552,5121.862457337884,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ02,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,82358.51000000001,14740.46,0,59678.04,0.0,6227.89,0,0,1712.12,0,0,0,0,0,0,6882.446416382252,486.92901023890784,1397.0689419795222,4998.448464163823,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ03,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,84626.79999999999,14740.46,0,59678.04,0.0,8425.87,0,0,1782.43,0,0,0,0,0,0,7062.137542662116,486.92901023890784,1558.322866894198,5016.88566552901,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ04,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,93306.84,14740.46,0,59678.04,0.0,15031.03,0,0,3857.31,0,0,0,0,0,0,7717.922866894198,486.92901023890784,2292.506484641638,4938.487372013651,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ05,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,83665.88,14740.46,0,59678.04,0.0,7175.06,0,0,2072.32,0,0,0,0,0,0,7143.324232081912,486.92901023890784,1648.450170648464,5007.94505119454,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ06,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,85930.54000000001,14740.46,0,59678.04,0.0,9297.82,0,0,2214.22,0,0,0,0,0,0,6319.811262798635,486.92901023890784,891.8228668941979,4941.05938566553,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ07,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,83705.96999999999,14740.46,0,59678.04,0.0,7445.86,0,0,1841.61,0,0,0,0,0,0,6144.9535836177465,486.92901023890784,733.3194539249146,4924.705119453924,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,None,MFm,Ex,CZ08,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,99163.87000000001,14740.46,0,59678.04,0.0,20135.04,0,0,4610.33,0,0,0,0,0,0,6179.789078498294,486.92901023890784,797.6184300341297,4895.241638225255,1,1,2026-08-17 09:01:46.635347
